id,title,description,availability,condition,price,link,image_link,brand,google_product_category,fb_product_category,quantity_to_sell_on_facebook,sale_price,sale_price_effective_date,item_group_id,gender,color,size,age_group,material,pattern,shipping,shipping_weight,offer_disclaimer,offer_disclaimer_url,video[0].url,video[0].tag[0],gtin,product_tags[0],product_tags[1],style[0]
GVn04,"Venice Covered Serving Pot 22,5cm","Venice Covered Serving Pot 22,5cm is a premium serving piece designed for elegant dining experiences and professional table presentations. It adds prestige and luxury to any table setting. Its spacious 22,5cm size is ideal for serving hot dishes, main courses, and gourmet presentations in style. The covered design helps maintain food temperature while offering a hygienic and elegant serving experience. Perfect for luxury hotels, fine dining restaurants, and high-end interiors seeking both functionality and refined aesthetics. Product Size: D:22,5cm",in stock,new,439.00 USD,https://www.laledevri.com.tr/en/shop/venice-covered-serving-pot-225cm/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0001.jpg,Lale Devri,3802,,1,,,,,,,,Silver Plated,,,,,,,,,Collections,Serving Plates,
GVn21,Venice Covered Jam Holder,"Venice Silver Plated Covered Jam Holder is a premium serving piece designed for elegant breakfast presentations and refined dining experiences. Its sophisticated silver-plated exterior reflects timeless, while the inner glass bowl provides a hygienic and stylish way to serve jam, honey, sauces, and gourmet accompaniments. The covered design helps preserve freshness while adding a luxurious touch to the table setting. Ideal for luxury hotels, boutique restaurants, and high-end interiors seeking both elegance and functionality.",in stock,new,97.50 USD,https://www.laledevri.com.tr/en/shop/venice-covered-jam-holder/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0002.jpg,Lale Devri,3498,,2,,,,,,,,Silver Plated,,,,,,,,,Collections,Glassware and Bowls,
GVn20,Venice 4-Piece Spice Holder,"Venice Silver Plated 4-Piece Spice Holder is a refined tabletop accessory designed for sophisticated dining experiences and luxury interiors. Its four-compartment functional design allows you to organize and present salt, pepper, and gourmet spices in a stylish and hygienic way. Perfect for luxury restaurants, boutique hotels, elegant dining tables, and premium kitchen decor concepts.",in stock,new,797.00 USD,https://www.laledevri.com.tr/en/shop/venice-4-piece-spice-holder/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0003.jpg,Lale Devri,3802,,1,,,,,,,,Silver Plated,,,,,,,,,Collections,Silver-Plated Tableware and Accessories,
GVn19,Venice 2-Piece Spice Holder,"Venice Silver Plated 2-Piece Spice Holder is designed to bring timeless elegance and refined sophistication to premium dining spaces. Ideal for exclusive dining concepts, boutique hotels, and refined interiors, this functional spice holder offers a stylish way to present salt, pepper, and gourmet spices. Crafted for high-end customers who value elegance, quality, and distinguished presentation.",in stock,new,474.00 USD,https://www.laledevri.com.tr/en/shop/venice-2-piece-spice-holder/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0004.jpg,Lale Devri,3802,,1,,,,,,,,Silver Plated,,,,,,,,,Collections,Silver-Plated Tableware and Accessories,
GVn17,Venice Ice Cream Bowl,"Venice Silver Plated Ice Cream Bowl is radiant silver-plated finish and graceful create a luxurious serving experience for ice cream, sorbet, desserts, and gourmet treats. Designed for premium lifestyles and distinguished dining settings, this exquisite piece is perfect for both everyday luxury and elegant entertaining. Product Size: D: 9cm H: 8cm",in stock,new,63.00 USD,https://www.laledevri.com.tr/en/shop/venice-ice-cream-bowl/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0005.jpg,Lale Devri,3498,,50,,,,,,,,Silver Plated,,,,,,,,,Collections,Glassware and Bowls,
GVn16,Venice Sugar Bowl Small,"Venice Silver Plated Sugar Bowl is designed for sophisticated interiors and refined table settings. Featuring an exquisite silver-plated finish and elegant craftsmanship, this premium decorative piece elevates every presentation with prestige and style. Perfect for luxury dining tables, coffee corners, consoles, and living spaces, Venice Sugar Bowl offers both decorative beauty and functional use. Created for discerning customers who appreciate exclusive home accessories and upscale decor, it stands out as a distinguished gift alternative and a statement piece for elegant homes. Product Size: D: 10,5cm H: 5,5cm",in stock,new,132.00 USD,https://www.laledevri.com.tr/en/shop/venice-sugar-bowl-small/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0006.jpg,Lale Devri,3498,,1,,,,,,,,Silver Plated,,,,,,,,,Collections,Glassware and Bowls,
GS39,Safiye Sultan Square Napkin Holder,"Safiye Sultan Silver Plated Square Napkin Holder is an elegant table accessory designed for luxury dining settings and sophisticated event decor. Featuring a refined square-inspired form and a radiant silver-plated finish, it transforms napkin presentation into a stylish decorative detail while adding prestige to every table arrangement. Ideal for wedding, engagement celebrations, gala dinners, luxury hospitality concepts, and exclusive events, this piece creates a refined and sophisticated atmosphere.",in stock,new,366.00 USD,https://www.laledevri.com.tr/en/shop/safiye-sultan-square-napkin-holder-silver-plated/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0007.jpg,Lale Devri,6324,,1,,,,,,,,Silver Plated,,,,,,,,,Collections,Napkin Holders,
CPO2A,Saray Gold Tea Cup with Handle,"Featuring delicately crafted gold patterns and an elegant handle design, this piece is perfect for both everyday indulgence and exclusive table settings. Bringing together the heritage of Turkish tea culture with a modern luxury touch, this exquisite glass elevates every serving and also makes a distinguished gift choice.",in stock,new,182.00 USD,https://www.laledevri.com.tr/en/shop/saray-gold-tea-cup-with-handle/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0008.jpg,Lale Devri,6049,,50,,,,,Gold,,,Glass,,,,,,,,,Collections,Glass Products,
CPO1A,Saray Gold Tea Cup,Saray Gold Tea Cup,in stock,new,176.00 USD,https://www.laledevri.com.tr/en/shop/saray-gold-tea-cup/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0009.jpg,Lale Devri,6049,,50,,,,,Gold,,,Glass,,,,,,,,,Glass Products,Saray,
CK03A,Kelebek Gold Mirra,Mirra from the Kelebek collection. Add elegance to your tables with the Gold and Platinum option. Product sizes Height: 5cm Diameter: 6cm Weight: 44g Volume: 45cc,in stock,new,86.00 USD,https://www.laledevri.com.tr/en/shop/kelebek-gold-mirra/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0010.jpg,Lale Devri,6049,,1,,,,,Gold,,,Glass,,,,,,,,,Collections,Glass Products,
