id,title,description,link,image_link,availability,price,sale_price,brand,condition,google_product_category,product_type,identifier_exists,gtin,mpn,material,color,shipping_weight
GO10,Orkide Peçete Halkası Gümüş Kaplama,"Orkide Peçete Halkası, zarif orkide çiçeğinden ilham alan tasarımıyla sofralarınıza şıklık ve estetik katan özel bir masa aksesuarıdır. Gümüş kaplama yüzeyi ve orkide detayları sayesinde masa dekorasyonuna lüks bir dokunuş kazandırır. Ürün Ölçüleri: Yükseklik: 7 cm En: 3 cm Boy: 3,5 cm Ağırlık: 56 gr",https://www.laledevri.com.tr/shop/orkide-pecete-halkasi-gumus-kaplama/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0159.jpg,in stock,2107.00 TRY,,Lale Devri,new,6324,Orkide > Napkin Holders,no,,,Silver Plated,Silver,
wc-5901,"4’lü Set – Starliçe Yemek Tabağı 24,5cm Porselen","Starliçe Porselen Yemek Tabağı, zarif tasarımı ve yüksek kaliteli porselen yapısıyla sofralarınıza şıklık kazandırır. Günlük kullanımın yanı sıra özel davetler ve misafir ağırlamalarında da estetik bir sunum deneyimi sunar. Dayanıklı porselen malzemeden üretilen yemek tabağı, ana yemeklerin servisinde ideal boyutlara sahiptir. Modern ve sade tasarımı sayesinde farklı sofra düzenleriyle uyum sağlar. Starliçe Yemek Tabağı, sofralarınızın vazgeçilmez parçalarından biri olacak. Ürün Ölçüsü: Çap: 24,5 cm",https://www.laledevri.com.tr/shop/4lu-set-starlice-yemek-tabagi-245cm-porselen/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0160.jpg,in stock,13287.00 TRY,,Lale Devri,new,3553,Dinner Plate,no,,,Porcelain,,
wc-5894,4’lü Set – Starliçe Tatlı Tabağı 18cm Porselen,"Starliçe Porselen Tatlı Tabağı, zarif tasarımı ve kaliteli işçiliğiyle sofralarınıza şıklık katmak için tasarlanmıştır. Yüksek kaliteli porselenden üretilen bu özel tabak, tatlı, pasta, kurabiye ve çeşitli ikramların sunumu için idealdir. Modern ve estetik görünümü sayesinde günlük kullanımdan özel davetlere kadar her ortamda rahatlıkla kullanılabilir. Dayanıklı yapısı uzun ömürlü kullanım sunarken, şık tasarımı sunumlarınıza değer katar. Starliçe Tatlı Tabağı, kahve ve çay saatlerinizi daha keyifli hale getiren zarif bir tamamlayıcıdır. Ürün Ölçüsü: Çap: 18 cm",https://www.laledevri.com.tr/shop/4lu-set-starlice-tatli-tabagi-18cm-porselen/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0161.jpg,in stock,8084.00 TRY,,Lale Devri,new,3553,Dessert Plate,no,,,Porcelain,,
wc-5882,4’lü Set – Starliçe Espresso Fincanı Porselen,"Starliçe Espresso Fincanı Porselen, kahve keyfinizi estetik ve zarafetle buluşturur. Yüksek kaliteli porselenden üretilen ürünlerimiz, kahvenizin aromasını ve sıcaklığını korumaya yardımcı olur. Modern ve şık tasarımı sayesinde ev, ofis veya özel davetlerde kullanıma uygundur. Kompakt boyutları sayesinde espresso, ristretto ve kısa kahve çeşitlerinin servisinde ideal bir tercih sunar. Ürün Ölçüleri: Çap: 5,2 cm Yükseklik: 5,5 cm",https://www.laledevri.com.tr/shop/4lu-set-starlice-espresso-fincani-porselen/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0162.jpg,in stock,5461.00 TRY,,Lale Devri,new,6049,Espresso Cup,no,,,Porcelain,,
GM2,Mahpeyker Supla 24cm Gümüş Kaplama,"Sofralarınıza ihtişam ve zamansız bir zarafet kazandıran Mahpeyker Supla, seçkin davetler ve özel sunumlar için tasarlanmıştır. Işığı zarif bir şekilde yansıtan gümüş kaplama yüzeyi, masa dekorasyonunuza sofistike bir dokunuş katarken, estetik ve fonksiyonelliği kusursuz bir uyumla bir araya getirir. Özel günlerden prestijli davetlere kadar her kullanımda fark yaratan Mahpeyker Supla, özenle üretilmiştir. Ürün Ölçüleri: Çap: 24 cm",https://www.laledevri.com.tr/shop/mahpeyker-supla-24cm-gumus-kaplama/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0163.jpg,in stock,11524.00 TRY,,Lale Devri,new,3553,Mahpeyker > Charger Presentation Plate,no,,,Silver Plated,Silver,
GVn04,"Venedik Tencere Servis Kapaklı 22,5cm","Venedik Gümüş Kaplama Tencere Kapaklı Servis, şık sofralar ve profesyonel sunumlar için tasarlanmış premium bir servis ürünüdür. Geniş hacmi sıcak yemek, ana yemek ve özel sunumların estetik şekilde servis edilmesine olanak sağlar. Kapaklı yapısı yemeklerin sıcaklığını korurken aynı zamanda hijyenik ve düzenli bir kullanım sunar. Lüks restoranlar, oteller ve üst segment yaşam alanları için hem dekoratif hem fonksiyonel bir tamamlayıcıdır. Ürün Ölçüsü: Çap:22,5cm",https://www.laledevri.com.tr/shop/venedik-tencere-servis-kapakli-225cm/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0001.jpg,in stock,18877.00 TRY,,Lale Devri,new,3802,Venice > Serving Plates,no,,,Silver Plated,,
GVn21,Venedik Kapaklı Reçellik,"Venedik Gümüş Kaplama Kapaklı Reçellik, kahvaltı ve özel sunum sofralarınız için özel olarak tasarlanmış seçkin bir servis aksesuarıdır. İçerisinde yer alan cam kase sayesinde reçel, bal, sos ve kahvaltılık ürünlerinizi hem hijyenik hem de estetik şekilde sunmanıza olanak sağlar. Kapaklı yapısı ürünlerin tazeliğini korurken sofralarda lüks ve düzenli bir görünüm oluşturur. Oteller, restoranlar için prestijli bir tamamlayıcıdır.",https://www.laledevri.com.tr/shop/venedik-kapakli-recellik/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0002.jpg,in stock,4192.50 TRY,,Lale Devri,new,3498,Venice > Glassware and Bowls,no,,,Silver Plated,,
GVn20,Venedik Baharatlık 4 Bölmeli,"Venedik Gümüş Kaplama 4’lü Baharatlık, sofistike sofralar ve seçkin yaşam alanları için tasarlanmış özel bir sunum aksesuarıdır. Dört Bölmeli fonksiyonel yapısı; tuz, karabiber ve farklı baharat çeşitlerini düzenli, hijyenik ve estetik şekilde sunmanıza olanak sağlar. Lüks restoranlar, oteller, davet sofraları ve premium mutfak dekorasyonları için ideal bir tamamlayıcıdır.",https://www.laledevri.com.tr/shop/venedik-baharatlik-4-bolmeli/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0003.jpg,in stock,34271.00 TRY,,Lale Devri,new,3802,Venice,no,,,Silver Plated,,
GVn19,Venedik Baharatlık 2 Bölmeli,"Venedik Gümüş Kaplama 2’li Baharatlık, zamansız şıklığı ve zarif detaylarıyla sofralarınıza prestij katmak için tasarlanmıştır. Özel davet sofraları, otel konseptleri ve seçkin mutfak dekorasyonları için kusursuz bir tamamlayıcı sunar. İki bölmeli fonksiyonel yapısı sayesinde tuz, karabiber ve özel baharatlarınızı şık bir sunumla muhafaza etmenizi sağlar.",https://www.laledevri.com.tr/shop/venedik-baharatlik-2-bolmeli/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0004.jpg,in stock,20382.00 TRY,,Lale Devri,new,3802,Venice,no,,,Silver Plated,,
GVn17,Venedik Dondurma Kasesi,"Venedik Gümüş Kaplama Dondurma Kasesi, parlak gümüş kaplama yüzeyi ve estetik formu sayesinde dondurma, sobe, tatlı ve özel ikram sunumlarında şık bir atmosfer oluşturur. Bu özel tasarım, hem günlük lüks kullanım hem de seçkin davet sofraları için ideal bir tamamlayıcıdır. Ürün Ölçüleri: Çap:9cm Yükseklik:8cm",https://www.laledevri.com.tr/shop/venedik-dondurma-kasesi/,https://emiryildizworks.github.io/laledevri-catalog-images/img-0005.jpg,in stock,2709.00 TRY,,Lale Devri,new,3498,Venice > Glassware and Bowls,no,,,Silver Plated,,
